market_id,question,slug,end_date,active,closed,category_raw,group_item_title,volume,liquidity,condition_id,tokens,category
553828,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Colorado Avalanche,13645949.891659033,181410.9174,0xf8f63bb47b2a7c2e0c1be3cedf4075079b11c07476d76a9469065b0c4791961a,"['101738487887518832481587379955535423775326921556438741919099866785354159699479', '87978082071653935678874296685430503892266481242311708420787197372467948088235']",SPORTS
553829,Will the Vegas Golden Knights win the 2026 NHL Stanley Cup?,will-the-vegas-golden-knights-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Vegas Golden Knights,1475619.8955329962,120089.19184,0x89389a6b1439856a8d366234c795d72865c927a1aa3cf9d4cc04a3a400defde1,"['68803485030073596962715540294172682212192134248970512695855620898253368033218', '58534831224432332845742394199681128700782343287162911891204466367752298448751']",SPORTS
553830,Will the Tampa Bay Lightning win the 2026 NHL Stanley Cup?,will-the-tampa-bay-lightning-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Tampa Bay Lightning,1627187.27881097,185379.93047,0xbdd688664b4f3cf7ec4ec011607934fe8ae720c08353fc14a6e9dfbf6bbcf11a,"['35573117698117780238142713946749692621043319879346349609080985768472429209643', '76626937605855383085159195963889428951048025160807952406004049979161449392204']",SPORTS
553831,Will the Los Angeles Kings win the 2026 NHL Stanley Cup?,will-the-los-angeles-kings-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Los Angeles Kings,6753503.625144926,166585.1265,0x3b6cdd4f72cef7f29ff7e054444095564dc582266b7230be3c2b5f194d89f37d,"['75497690502531380056390405612014900797768656980504946546336044296003833597355', '2729425106258568059271359452117793887389510413905823490566998620570283391162']",SPORTS
553837,Will the Ottawa Senators win the 2026 NHL Stanley Cup?,will-the-ottawa-senators-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Ottawa Senators,1091197.491704996,110644.36633,0x139b893a7ae21eaec72e887ba88910831944b4662512428c122c4ad0a5c125ac,"['52122163926965666340769912737036425235018536048643947600257470162508745804215', '8670072980013890450224478921744074220453109802844788568180411173557818867412']",SPORTS
553838,Will the Minnesota Wild win the 2026 NHL Stanley Cup?,will-the-minnesota-wild-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Minnesota Wild,8670406.742795972,206244.161,0x0d082a85f48a5226b1205acdb6e95ead2fe373acabcf6c471f5895f86f42a276,"['52393600221905688380980180540161090876971894580569515967716227210336633318551', '21431572216384228534336063536634350950418274877940611814171622998125116043513']",SPORTS
553839,Will the Utah Mammoth win the 2026 NHL Stanley Cup?,will-the-utah-mammoth-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Utah Mammoth,981438.3589989962,147208.21677,0xfdc1041ba84bfd8f741eee0bdafce8b1887626c83afd017d18ee9b1f77008b9f,"['77381084121703585434442737895792916741546405992903866299069398776973629407962', '113689564696134010397605001832750509195155730029258888570920506901252575318870']",SPORTS
553843,Will the Philadelphia Flyers win the 2026 NHL Stanley Cup?,will-the-philadelphia-flyers-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Philadelphia Flyers,1097984.1989430012,147220.2135,0xd66cbb60c333c2eed61717370755c18bc7e494fed90cb507cd9b49c77100951d,"['89876650777103845660381011502618435196005005316371719080379226306122186643898', '103499896493634243542593138704667892499128832763387792529972229935046936155180']",SPORTS
553848,Will the Anaheim Ducks win the 2026 NHL Stanley Cup?,will-the-anaheim-ducks-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Anaheim Ducks,911333.3248609987,185657.26264,0xceb5e0c99a9195da148d79693f3c6819d44d4d3d7e5be77931e174a3eebe4a85,"['1755198236548058730692725634969806667163093356894670716555961840777456036471', '110385100135551380027074853970241483263713796301174664674312206071534212241565']",SPORTS
553849,Will the Montreal Canadiens win the 2026 NHL Stanley Cup?,will-the-montreal-canadiens-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Montreal Canadiens,1359892.0879519924,146409.26281,0x52847ca1413b76a5570b97c0c432e38dbe61b0140f9d45e912604591b08f6fca,"['114248353339288476395516704859280406139740194553592209059241667781908210476009', '85705323099460694144578384076010167420188174879039498210125410497783582291911']",SPORTS
